Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Steven Adams\adamsst01,C,26,OKC,59,1592,20.8,.606,.007,.415,14.4,23.9,19.3,13.5,1.5,3.6,14.4,17.3,,3.8,2.5,6.3,.190,,2.0,1.1,3.1,2.0
2,Bam Adebayo\adebaba01,PF,22,MIA,66,2263,20.7,.607,.018,.482,8.7,24.9,17.2,23.7,1.7,3.7,17.6,21.0,,4.7,3.6,8.3,.177,,1.6,2.0,3.6,3.2
3,LaMarcus Aldridge\aldrila01,C,34,SAS,53,1754,19.8,.571,.198,.241,6.3,17.8,12.1,11.4,1.0,4.4,7.8,23.5,,3.1,1.4,4.5,.122,,1.8,-0.5,1.3,1.5
4,Nickeil Alexander-Walker\alexani01,SG,21,NOP,42,513,8.6,.457,.513,.128,1.6,15.1,8.3,20.7,1.2,1.1,13.9,22.9,,-0.6,0.4,-0.2,-0.017,,-3.0,-1.0,-4.0,-0.3
5,Grayson Allen\allengr01,SG,24,MEM,31,520,11.1,.577,.511,.200,1.0,12.5,6.9,11.3,0.7,0.2,11.3,17.7,,0.4,0.3,0.7,.064,,-1.2,-1.5,-2.7,-0.1
6,Jarrett Allen\allenja01,C,21,BRK,65,1674,20.4,.660,.012,.562,12.4,24.9,18.8,8.0,1.0,4.2,12.0,15.0,,4.4,2.8,7.2,.207,,1.0,1.0,2.1,1.7
7,Kadeem Allen\allenka01,SG,27,NYK,10,117,14.0,.512,.364,.250,1.8,6.6,4.1,27.0,2.1,1.6,14.1,20.6,,0.1,0.1,0.1,.053,,0.0,-0.6,-0.6,0.0
8,Al-Farouq Aminu\aminual01,PF,29,ORL,18,380,7.6,.395,.419,.337,6.6,18.4,12.3,7.3,2.3,1.9,14.7,13.2,,-0.4,0.5,0.1,.015,,-4.5,1.4,-3.1,-0.1
9,Justin Anderson\anderju01,SF,26,BRK,4,27,1.2,.169,.625,.250,3.9,14.9,9.6,18.8,0.0,6.1,10.1,15.3,,-0.1,0.0,-0.1,-0.122,,-8.2,-0.2,-8.4,0.0
10,Kyle Anderson\anderky01,PF,26,MEM,60,1158,12.8,.538,.228,.239,5.0,18.3,11.8,15.0,1.9,2.3,15.1,13.3,,0.8,1.4,2.2,.091,,-1.4,1.8,0.4,0.7
11,Ryan Anderson\anderry01,PF,31,HOU,2,14,9.5,.357,.714,.000,0.0,52.8,26.2,20.1,3.3,0.0,12.5,23.6,,0.0,0.0,0.0,-0.033,,-4.1,0.7,-3.4,0.0
12,Giannis Antetokounmpo\antetgi01,PF,25,MIL,58,1795,31.8,.610,.236,.502,7.7,34.6,22.0,34.2,1.5,2.9,13.0,37.4,,5.8,4.8,10.7,.285,,7.5,4.2,11.7,6.2
13,Kostas Antetokounmpo\antetko01,PF,22,LAL,3,5,8.6,,,,0.0,21.4,10.9,22.6,0.0,0.0,,0.0,,0.0,0.0,0.0,.137,,1.2,3.1,4.3,0.0
14,Thanasis Antetokounmpo\antetth01,SF,27,MIL,18,93,14.2,.528,.194,.417,12.5,8.0,10.1,13.9,2.9,1.9,20.5,23.8,,0.0,0.2,0.2,.082,,-4.0,1.7,-2.3,0.0
15,Carmelo Anthony\anthoca01,PF,35,POR,51,1660,12.3,.523,.287,.202,3.9,15.9,10.0,6.9,1.2,1.2,10.9,21.5,,0.2,0.9,1.1,.031,,-1.9,-1.8,-3.7,-0.7
16,OG Anunoby\anunoog01,SF,22,TOR,64,1930,13.5,.606,.407,.168,4.2,14.4,9.4,7.5,2.2,2.1,11.5,14.4,,2.1,3.4,5.5,.137,,-0.7,1.9,1.2,1.6
17,Ryan Arcidiacono\arcidry01,PG,25,CHI,58,930,9.0,.551,.627,.173,2.3,11.2,6.5,14.3,1.4,0.3,13.5,12.5,,0.7,0.7,1.4,.070,,-2.7,-0.1,-2.8,-0.2
18,Trevor Ariza\arizatr01,SF,34,TOT,53,1493,11.0,.593,.639,.228,2.5,15.6,9.0,8.1,2.2,0.9,13.6,11.9,,1.3,1.3,2.6,.084,,-1.5,0.9,-0.5,0.6
18,Trevor Ariza\arizatr01,SF,34,SAC,32,791,9.4,.543,.739,.164,2.9,18.3,10.4,8.4,2.2,0.8,13.7,11.3,,0.3,0.8,1.1,.068,,-1.9,1.3,-0.6,0.3
18,Trevor Ariza\arizatr01,SF,34,POR,21,702,12.8,.643,.535,.296,2.0,12.7,7.4,7.7,2.3,1.0,13.5,12.6,,1.0,0.5,1.5,.101,,-1.0,0.5,-0.5,0.3
19,D.J. Augustin\augusdj01,PG,32,ORL,50,1242,14.1,.549,.436,.387,1.5,8.2,4.8,26.4,1.2,0.1,13.0,19.0,,1.8,0.8,2.6,.099,,-0.4,-1.1,-1.5,0.2
20,Deandre Ayton\aytonde01,C,21,PHO,31,1031,20.8,.579,.013,.163,13.4,27.1,20.1,9.9,1.0,4.5,12.3,24.1,,1.3,1.3,2.7,.124,,1.1,-0.3,0.8,0.7
21,Dwayne Bacon\bacondw01,SG,24,CHO,39,687,6.1,.419,.275,.217,2.3,14.0,7.9,11.7,1.7,0.3,12.2,19.5,,-1.2,0.4,-0.8,-0.053,,-5.9,-0.9,-6.8,-0.8
22,Marvin Bagley III\baglema01,PF,20,SAC,13,334,15.7,.512,.132,.186,9.5,23.6,16.4,5.0,0.9,3.4,9.1,25.9,,0.0,0.3,0.4,.054,,-2.1,-1.3,-3.4,-0.1
23,Lonzo Ball\balllo01,PG,22,NOP,58,1868,13.3,.520,.573,.110,3.6,16.7,10.1,29.2,2.0,1.3,20.8,18.7,,0.5,1.9,2.4,.061,,0.2,0.5,0.7,1.3
24,Mo Bamba\bambamo01,C,21,ORL,61,872,17.6,.544,.375,.161,11.8,25.7,18.5,7.2,1.3,8.8,12.1,17.2,,0.8,1.7,2.5,.137,,-1.2,1.6,0.4,0.5
25,J.J. Barea\bareajo01,PG,35,DAL,26,391,14.9,.519,.425,.101,2.7,10.0,6.4,37.6,0.5,0.4,15.8,24.2,,0.5,0.2,0.7,.083,,1.8,-2.7,-1.0,0.1
26,Harrison Barnes\barneha02,PF,27,SAC,65,2267,13.3,.577,.342,.344,3.0,12.8,7.8,9.8,0.9,0.4,9.0,17.4,,3.2,1.1,4.3,.091,,0.0,-1.2,-1.2,0.5
27,RJ Barrett\barrerj01,SG,19,NYK,56,1704,10.7,.479,.271,.349,3.0,14.8,8.7,12.8,1.6,0.9,12.9,24.0,,-1.6,1.1,-0.5,-0.015,,-2.8,-1.5,-4.3,-1.0
28,Will Barton\bartowi01,SF,29,DEN,58,1916,15.6,.549,.390,.180,4.4,16.9,10.6,16.1,1.6,1.4,9.9,20.0,,2.4,2.1,4.5,.111,,1.2,-0.1,1.2,1.5
29,Keita Bates-Diop\bateske01,SF,24,TOT,40,667,12.6,.541,.452,.332,3.2,15.0,8.9,6.5,1.3,2.6,5.5,15.6,,0.6,0.5,1.1,.081,,-0.8,0.0,-0.8,0.2
29,Keita Bates-Diop\bateske01,SF,24,MIN,37,646,12.5,.535,.456,.316,3.3,15.1,9.0,6.7,1.2,2.6,5.6,15.8,,0.6,0.5,1.0,.076,,-0.8,-0.1,-0.9,0.2
29,Keita Bates-Diop\bateske01,SF,24,DEN,3,21,16.8,.931,.000,2.000,0.0,10.6,5.3,0.0,2.4,4.4,0.0,7.8,,0.1,0.0,0.1,.226,,0.2,1.9,2.1,0.0
30,Nicolas Batum\batumni01,SF,31,CHO,22,505,9.2,.463,.605,.123,5.2,16.8,10.8,18.3,1.7,1.5,20.5,9.4,,0.2,0.4,0.6,.055,,-2.7,0.9,-1.9,0.0
